# Instrument Export
# Instrument: Olympus 38DL Plus
# Serial: 12345678
# Software: v2.3.1
# Export_Date: 2026-01-28 17:12:23
# Operator: JSMITH
# Probe: D7906-SM 5MHz
# Cal_Block: CB-001
#
Reading_No,File_ID,ID,Reading,Thickness_mm,Thickness_in,Velocity_m_s,Gate_Start_mm,Gate_Width_mm,Gain_dB,Date,Time,Flags
1,FILE01,ID001,1,8.02,0.3157,5890,0.5,25.0,45.5,2026-01-28,16:50:38,
2,FILE01,ID001,2,10.298,0.4054,5890,0.5,25.0,45.5,2026-01-28,09:06:33,
3,FILE01,ID002,1,6.199,0.2441,5890,0.5,25.0,45.5,2026-01-28,13:20:21,
4,FILE01,ID002,2,5.265,0.2073,5890,0.5,25.0,45.5,2026-01-28,13:18:11,
5,FILE01,ID003,1,8.265,0.3254,5890,0.5,25.0,45.5,2026-01-28,16:54:53,
6,FILE01,ID003,2,8.906,0.3506,5890,0.5,25.0,45.5,2026-01-28,09:14:51,
7,FILE01,ID003,3,10.436,0.4109,5890,0.5,25.0,45.5,2026-01-28,16:48:26,
8,FILE01,ID004,1,8.136,0.3203,5890,0.5,25.0,45.5,2026-01-28,14:17:51,
9,FILE01,ID005,1,8.915,0.351,5890,0.5,25.0,45.5,2026-01-28,08:34:11,
10,FILE01,ID006,1,7.608,0.2995,5890,0.5,25.0,45.5,2026-01-28,15:32:30,
11,FILE01,ID006,2,7.595,0.299,5890,0.5,25.0,45.5,2026-01-28,16:10:54,
12,FILE01,ID006,3,10.367,0.4081,5890,0.5,25.0,45.5,2026-01-28,14:34:29,
13,FILE01,ID006,4,6.265,0.2467,5890,0.5,25.0,45.5,2026-01-28,11:28:49,
14,FILE01,ID007,1,10.583,0.4167,5890,0.5,25.0,45.5,2026-01-28,14:10:27,
15,FILE01,ID007,2,5.556,0.2187,5890,0.5,25.0,45.5,2026-01-28,14:40:07,
16,FILE01,ID007,3,10.294,0.4053,5890,0.5,25.0,45.5,2026-01-28,09:51:56,
17,FILE01,ID007,4,5.119,0.2015,5890,0.5,25.0,45.5,2026-01-28,14:49:20,
18,FILE01,ID008,1,11.929,0.4696,5890,0.5,25.0,45.5,2026-01-28,12:20:09,
19,FILE01,ID008,2,8.251,0.3248,5890,0.5,25.0,45.5,2026-01-28,14:57:27,
20,FILE01,ID008,3,8.308,0.3271,5890,0.5,25.0,45.5,2026-01-28,11:22:31,
21,FILE01,ID009,1,11.988,0.472,5890,0.5,25.0,45.5,2026-01-28,08:53:17,
22,FILE01,ID009,2,9.961,0.3922,5890,0.5,25.0,45.5,2026-01-28,09:05:30,
23,FILE01,ID009,3,8.78,0.3457,5890,0.5,25.0,45.5,2026-01-28,09:31:48,
24,FILE01,ID010,1,11.103,0.4371,5890,0.5,25.0,45.5,2026-01-28,14:26:54,
25,FILE01,ID010,2,4.982,0.1961,5890,0.5,25.0,45.5,2026-01-28,16:53:39,
26,FILE01,ID011,1,9.531,0.3752,5890,0.5,25.0,45.5,2026-01-28,08:12:54,
27,FILE01,ID012,1,8.856,0.3487,5890,0.5,25.0,45.5,2026-01-28,10:45:57,
28,FILE01,ID012,2,9.701,0.3819,5890,0.5,25.0,45.5,2026-01-28,12:46:47,
29,FILE01,ID012,3,11.722,0.4615,5890,0.5,25.0,45.5,2026-01-28,15:25:52,
30,FILE01,ID013,1,10.908,0.4294,5890,0.5,25.0,45.5,2026-01-28,09:08:38,
