Circuit_ID,CML,Component,NPS,Schedule,Nominal_mm,t_min_mm,Reading_1,Reading_2,Reading_3,Reading_4,Min_mm,Prev_mm,Prev_Date,Corr_Rate_mm_yr,Remaining_Life_yr,Condition,Service,Material
CA-601,001,Tee-Run,6,80,7.11,3.56,5.81,5.78,5.62,5.65,5.62,5.76,2024-05-16,0.07,29.5,Good,Caustic Service,A106 Gr.B
CA-601,002,Control Valve,2,80,3.91,1.96,3.29,3.24,3.36,3.15,3.15,3.25,2024-05-16,0.06,19.9,Fair,Caustic Service,A106 Gr.B
CA-601,003,Weldolet,6,80,7.11,3.56,5.21,5.34,,,5.21,5.3,2024-05-16,0.04,41.4,Good,Caustic Service,A106 Gr.B
CA-601,004,Tee-Branch,6,80,7.11,3.56,5.77,5.81,5.6,5.8,5.6,5.79,2024-05-16,0.1,20.4,Good,Caustic Service,A106 Gr.B
CA-601,005,Straight,4,80,6.02,3.01,5.02,4.91,,,4.91,5.12,2024-05-16,0.09,21.1,Good,Caustic Service,A106 Gr.B
CA-601,006,Control Valve,4,80,6.02,3.01,4.91,4.99,4.85,4.74,4.74,4.88,2024-05-16,0.07,24.7,Good,Caustic Service,A106 Gr.B
CA-601,007,90° Elbow,4,80,6.02,3.01,3.87,4.08,3.87,3.82,3.82,3.93,2024-05-16,0.05,16.2,Fair,Caustic Service,A106 Gr.B
CA-601,008,Control Valve,6,80,7.11,3.56,6.14,6.04,6.09,6.19,6.04,6.22,2024-05-16,0.09,27.6,Good,Caustic Service,A106 Gr.B
CA-601,009,90° Elbow,2,80,3.91,1.96,3.08,2.88,3.07,2.9,2.88,3.08,2024-05-16,0.12,7.7,ALERT,Caustic Service,A106 Gr.B
CA-601,010,Tee-Branch,2,80,3.91,1.96,3.25,3.37,3.43,3.5,3.25,3.4,2024-05-16,0.1,12.9,Fair,Caustic Service,A106 Gr.B
CA-601,011,90° Elbow,6,80,7.11,3.56,5.81,5.98,6.01,6.03,5.81,5.9,2024-05-16,0.04,56.4,Good,Caustic Service,A106 Gr.B
CA-601,012,90° Elbow,8,40,8.18,4.09,6.89,6.69,6.86,6.84,6.69,6.87,2024-05-16,0.11,23.6,Good,Caustic Service,A106 Gr.B
