Circuit_ID,CML,Component,NPS,Schedule,Nominal_mm,t_min_mm,Reading_1,Reading_2,Reading_3,Reading_4,Min_mm,Prev_mm,Prev_Date,Corr_Rate_mm_yr,Remaining_Life_yr,Condition,Service,Material
FW-102,001,Straight,4,80,6.02,3.01,4.83,4.77,,,4.77,4.91,2024-11-29,0.06,29.3,Good,Boiler Feedwater,A106 Gr.B
FW-102,002,Flange,4,80,6.02,3.01,4.96,5.16,,,4.96,5.12,2024-11-29,0.1,19.5,Fair,Boiler Feedwater,A106 Gr.B
FW-102,003,Straight,2,80,3.91,1.96,3.05,3.14,,,3.05,3.25,2024-11-29,0.1,10.9,Fair,Boiler Feedwater,A106 Gr.B
FW-102,004,Weldolet,2,80,3.91,1.96,3.27,3.19,,,3.19,3.42,2024-11-29,0.14,8.8,ALERT,Boiler Feedwater,A106 Gr.B
FW-102,005,Control Valve,6,80,7.11,3.56,5.89,5.89,5.88,5.88,5.88,6.04,2024-11-29,0.09,25.8,Good,Boiler Feedwater,A106 Gr.B
FW-102,006,Flange,4,80,6.02,3.01,5.12,5.11,,,5.11,5.31,2024-11-29,0.11,19.1,Fair,Boiler Feedwater,A106 Gr.B
FW-102,007,45° Elbow,6,80,7.11,3.56,5.11,5.1,,,5.1,5.31,2024-11-29,0.1,15.4,Fair,Boiler Feedwater,A106 Gr.B
FW-102,008,Tee-Run,6,80,7.11,3.56,6.47,6.43,6.27,6.26,6.26,6.43,2024-11-29,0.08,33.8,Good,Boiler Feedwater,A106 Gr.B
FW-102,009,Control Valve,4,80,6.02,3.01,4.23,4.28,4.51,4.29,4.23,4.38,2024-11-29,0.07,17.4,Fair,Boiler Feedwater,A106 Gr.B
FW-102,010,Weldolet,2,80,3.91,1.96,3.41,3.56,,,3.41,3.5,2024-11-29,0.04,36.4,Good,Boiler Feedwater,A106 Gr.B
FW-102,011,Straight,3,80,5.49,2.75,4.74,4.8,,,4.74,4.98,2024-11-29,0.11,18.1,Fair,Boiler Feedwater,A106 Gr.B
FW-102,012,Reducer,4,80,6.02,3.01,5.04,5.15,,,5.04,5.13,2024-11-29,0.06,33.8,Good,Boiler Feedwater,A106 Gr.B
