Circuit_ID,CML,Component,NPS,Schedule,Nominal_mm,t_min_mm,Reading_1,Reading_2,Reading_3,Reading_4,Min_mm,Prev_mm,Prev_Date,Corr_Rate_mm_yr,Remaining_Life_yr,Condition,Service,Material
ST-402,001,Straight,2,80,3.91,1.96,3.35,3.48,,,3.35,3.59,2024-10-19,0.13,10.7,Fair,Steam Condensate,A106 Gr.B
ST-402,002,Weldolet,6,80,7.11,3.56,5.63,5.47,,,5.47,5.59,2024-10-19,0.05,38.3,Good,Steam Condensate,A106 Gr.B
ST-402,003,Flange,6,80,7.11,3.56,4.7,4.9,,,4.7,4.94,2024-10-19,0.11,10.4,Fair,Steam Condensate,A106 Gr.B
ST-402,004,Straight,8,40,8.18,4.09,6.59,6.75,,,6.59,6.84,2024-10-19,0.12,20.8,Good,Steam Condensate,A106 Gr.B
ST-402,005,Tee-Run,6,80,7.11,3.56,5.81,5.65,5.71,5.7,5.65,5.88,2024-10-19,0.14,15.0,Fair,Steam Condensate,A106 Gr.B
ST-402,006,Reducer,3,80,5.49,2.75,4.59,4.56,,,4.56,4.75,2024-10-19,0.09,20.2,Good,Steam Condensate,A106 Gr.B
ST-402,007,Control Valve,4,80,6.02,3.01,3.81,3.97,3.88,4.0,3.81,3.9,2024-10-19,0.04,20.0,Good,Steam Condensate,A106 Gr.B
ST-402,008,Control Valve,2,80,3.91,1.96,3.26,3.28,3.3,3.3,3.26,3.44,2024-10-19,0.1,13.0,Fair,Steam Condensate,A106 Gr.B
ST-402,009,Reducer,4,80,6.02,3.01,4.33,4.53,,,4.33,4.46,2024-10-19,0.06,22.0,Good,Steam Condensate,A106 Gr.B
ST-402,010,Straight,4,80,6.02,3.01,4.67,4.76,,,4.67,4.84,2024-10-19,0.08,20.8,Good,Steam Condensate,A106 Gr.B
ST-402,011,Reducer,3,80,5.49,2.75,4.64,4.44,,,4.44,4.55,2024-10-19,0.07,24.2,Good,Steam Condensate,A106 Gr.B
ST-402,012,Control Valve,6,80,7.11,3.56,5.94,5.8,6.02,6.03,5.8,5.93,2024-10-19,0.07,32.1,Good,Steam Condensate,A106 Gr.B
ST-402,013,Weldolet,6,80,7.11,3.56,5.63,5.49,,,5.49,5.66,2024-10-19,0.08,24.2,Good,Steam Condensate,A106 Gr.B
ST-402,014,90° Elbow,6,80,7.11,3.56,6.11,5.99,5.92,5.93,5.92,6.06,2024-10-19,0.08,29.6,Good,Steam Condensate,A106 Gr.B
