Tank_ID,Zone,Course,Grid_Row,Grid_Col,Orientation,Original_mm,t_min_mm,Reading_mm,Service
T-501,SHELL,1,,,N,25.4,12.7,20.15,Crude Oil
T-501,SHELL,1,,,NE,25.4,12.7,19.61,Crude Oil
T-501,SHELL,1,,,E,25.4,12.7,19.7,Crude Oil
T-501,SHELL,1,,,SE,25.4,12.7,19.51,Crude Oil
T-501,SHELL,1,,,S,25.4,12.7,20.02,Crude Oil
T-501,SHELL,1,,,SW,25.4,12.7,19.66,Crude Oil
T-501,SHELL,1,,,W,25.4,12.7,19.75,Crude Oil
T-501,SHELL,1,,,NW,25.4,12.7,20.05,Crude Oil
T-501,SHELL,2,,,N,22.23,11.12,18.12,Crude Oil
T-501,SHELL,2,,,NE,22.23,11.12,17.97,Crude Oil
T-501,SHELL,2,,,E,22.23,11.12,17.99,Crude Oil
T-501,SHELL,2,,,SE,22.23,11.12,18.09,Crude Oil
T-501,SHELL,2,,,S,22.23,11.12,17.52,Crude Oil
T-501,SHELL,2,,,SW,22.23,11.12,17.81,Crude Oil
T-501,SHELL,2,,,W,22.23,11.12,17.88,Crude Oil
T-501,SHELL,2,,,NW,22.23,11.12,17.53,Crude Oil
T-501,SHELL,3,,,N,19.05,9.53,15.84,Crude Oil
T-501,SHELL,3,,,NE,19.05,9.53,15.93,Crude Oil
T-501,SHELL,3,,,E,19.05,9.53,15.48,Crude Oil
T-501,SHELL,3,,,SE,19.05,9.53,15.97,Crude Oil
T-501,SHELL,3,,,S,19.05,9.53,15.3,Crude Oil
T-501,SHELL,3,,,SW,19.05,9.53,15.9,Crude Oil
T-501,SHELL,3,,,W,19.05,9.53,15.56,Crude Oil
T-501,SHELL,3,,,NW,19.05,9.53,15.72,Crude Oil
T-501,SHELL,4,,,N,15.88,7.94,13.42,Crude Oil
T-501,SHELL,4,,,NE,15.88,7.94,13.3,Crude Oil
T-501,SHELL,4,,,E,15.88,7.94,13.58,Crude Oil
T-501,SHELL,4,,,SE,15.88,7.94,13.6,Crude Oil
T-501,SHELL,4,,,S,15.88,7.94,13.14,Crude Oil
T-501,SHELL,4,,,SW,15.88,7.94,13.33,Crude Oil
T-501,SHELL,4,,,W,15.88,7.94,13.38,Crude Oil
T-501,SHELL,4,,,NW,15.88,7.94,13.35,Crude Oil
T-501,SHELL,5,,,N,12.7,6.35,10.86,Crude Oil
T-501,SHELL,5,,,NE,12.7,6.35,10.69,Crude Oil
T-501,SHELL,5,,,E,12.7,6.35,10.84,Crude Oil
T-501,SHELL,5,,,SE,12.7,6.35,10.82,Crude Oil
T-501,SHELL,5,,,S,12.7,6.35,10.86,Crude Oil
T-501,SHELL,5,,,SW,12.7,6.35,10.99,Crude Oil
T-501,SHELL,5,,,W,12.7,6.35,10.95,Crude Oil
T-501,SHELL,5,,,NW,12.7,6.35,11.03,Crude Oil
T-501,SHELL,6,,,N,9.53,4.76,8.52,Crude Oil
T-501,SHELL,6,,,NE,9.53,4.76,8.53,Crude Oil
T-501,SHELL,6,,,E,9.53,4.76,8.28,Crude Oil
T-501,SHELL,6,,,SE,9.53,4.76,8.23,Crude Oil
T-501,SHELL,6,,,S,9.53,4.76,8.28,Crude Oil
T-501,SHELL,6,,,SW,9.53,4.76,8.46,Crude Oil
T-501,SHELL,6,,,W,9.53,4.76,8.57,Crude Oil
T-501,SHELL,6,,,NW,9.53,4.76,8.29,Crude Oil
T-501,SHELL,7,,,N,9.53,4.76,8.62,Crude Oil
T-501,SHELL,7,,,NE,9.53,4.76,8.6,Crude Oil
