Vessel_ID,Zone,CML,Orientation,Elevation,Nominal_mm,t_min_mm,Reading_mm,Prev_mm,Prev_Date,Corr_Rate_mm_yr,Remaining_Life_yr,Condition,Service
V-202,TOP_HEAD,TO-C,Center,-,19.05,9.53,17.99,18.25,2022-04-15,0.13,65.1,Good,Surge Drum
V-202,TOP_HEAD,TO-N,N,-,19.05,9.53,18.51,18.76,2022-04-15,0.12,74.8,Good,Surge Drum
V-202,TOP_HEAD,TO-E,E,-,19.05,9.53,18.23,18.44,2022-04-15,0.11,79.1,Good,Surge Drum
V-202,TOP_HEAD,TO-S,S,-,19.05,9.53,17.68,18.01,2022-04-15,0.17,47.9,Fair,Surge Drum
V-202,TOP_HEAD,TO-W,W,-,19.05,9.53,17.84,18.15,2022-04-15,0.15,55.4,Good,Surge Drum
V-202,BTM_HEAD,BT-C,Center,-,19.05,9.53,17.03,17.23,2022-04-15,0.1,75.0,Good,Surge Drum
V-202,BTM_HEAD,BT-N,N,-,19.05,9.53,16.51,16.8,2022-04-15,0.14,49.9,Fair,Surge Drum
V-202,BTM_HEAD,BT-E,E,-,19.05,9.53,17.6,17.85,2022-04-15,0.12,67.3,Good,Surge Drum
V-202,BTM_HEAD,BT-S,S,-,19.05,9.53,16.76,17.03,2022-04-15,0.13,55.6,Good,Surge Drum
V-202,BTM_HEAD,BT-W,W,-,19.05,9.53,17.61,17.89,2022-04-15,0.14,57.7,Good,Surge Drum
V-202,SHELL_1,SC1-N,N,Mid,25.4,12.7,24.66,24.96,2022-04-15,0.15,79.7,Good,Surge Drum
V-202,SHELL_1,SC1-NE,NE,Mid,25.4,12.7,24.9,25.09,2022-04-15,0.1,122.0,Good,Surge Drum
V-202,SHELL_1,SC1-E,E,Mid,25.4,12.7,24.66,24.88,2022-04-15,0.11,108.7,Good,Surge Drum
V-202,SHELL_1,SC1-SE,SE,Mid,25.4,12.7,24.41,24.74,2022-04-15,0.16,73.2,Good,Surge Drum
V-202,SHELL_1,SC1-S,S,Mid,25.4,12.7,23.93,24.27,2022-04-15,0.17,66.1,Good,Surge Drum
V-202,SHELL_1,SC1-SW,SW,Mid,25.4,12.7,25.13,25.37,2022-04-15,0.12,103.6,Good,Surge Drum
V-202,SHELL_1,SC1-W,W,Mid,25.4,12.7,24.34,24.57,2022-04-15,0.12,97.0,Good,Surge Drum
V-202,SHELL_1,SC1-NW,NW,Mid,25.4,12.7,24.08,24.46,2022-04-15,0.19,59.9,Good,Surge Drum
V-202,SHELL_2,SC2-N,N,Mid,25.4,12.7,23.26,23.59,2022-04-15,0.16,66.0,Good,Surge Drum
V-202,SHELL_2,SC2-NE,NE,Mid,25.4,12.7,22.67,22.9,2022-04-15,0.11,90.6,Good,Surge Drum
V-202,SHELL_2,SC2-E,E,Mid,25.4,12.7,23.37,23.55,2022-04-15,0.09,118.6,Good,Surge Drum
V-202,SHELL_2,SC2-SE,SE,Mid,25.4,12.7,22.83,23.08,2022-04-15,0.12,84.4,Good,Surge Drum
V-202,SHELL_2,SC2-S,S,Mid,25.4,12.7,23.03,23.28,2022-04-15,0.12,86.1,Good,Surge Drum
V-202,SHELL_2,SC2-SW,SW,Mid,25.4,12.7,22.59,22.93,2022-04-15,0.17,58.2,Good,Surge Drum
V-202,SHELL_2,SC2-W,W,Mid,25.4,12.7,22.65,22.95,2022-04-15,0.15,66.3,Good,Surge Drum
V-202,SHELL_2,SC2-NW,NW,Mid,25.4,12.7,22.56,22.92,2022-04-15,0.18,54.8,Good,Surge Drum
V-202,NOZZLE,N1-Inlet,Inlet,-,11.13,5.57,10.73,10.94,2022-04-15,0.1,51.6,Good,Surge Drum
V-202,NOZZLE,N2-Outlet,Outlet,-,11.13,5.57,10.4,10.63,2022-04-15,0.12,40.2,Good,Surge Drum
V-202,NOZZLE,N3-Drain,Drain,-,11.13,5.57,10.56,10.79,2022-04-15,0.11,45.4,Good,Surge Drum
V-202,NOZZLE,MH-Manway,Manway,-,11.13,5.57,10.27,10.51,2022-04-15,0.12,39.2,Good,Surge Drum
